300	0	0	0
301	0	0	0
302	0	0	0
303	0	0	0
304	0	0	0
305	0	0	0
306	0	0	0
307	0	0	0
308	0	0	0
309	0	0	0
310	0	0	0
311	0	0	0
312	0	0	0
313	0	0	0
314	0	0	0
315	0	0	0
316	0	0	0
317	0	0	0
318	0	0	0
319	0	0	0
320	0	0	0
321	0	0	0
322	0	0	0
323	0	0	0
324	0	0	0
325	0	0	0
326	0	0	0
327	0	0	0
328	0	0	0
329	0	0	0
330	0	0	0
331	0	0	0
332	0	0	0
333	0	0	0
334	0	0	0
335	0	0	0
336	0	0	0
337	0	0	0
338	0	0	0
339	0	0	0
340	0	0	0
341	0	0	0
342	0	0	0
343	0	0	0
344	0	0	0
345	0	0	0
346	0	0	0
347	0	0	0
348	0	0	0
349	0	0	0
350	0	0	0
351	0	0	0
352	0	0	0
353	0	0	0
354	0	0	0
355	0	0	0
356	0	0	0
357	0	0	0
358	0	0	0
359	0	0	0
360	1.30E-04	3.92E-06	6.06E-04
361	1.46E-04	4.39E-06	6.81E-04
362	1.64E-04	4.93E-06	7.65E-04
363	1.84E-04	5.53E-06	8.60E-04
364	2.07E-04	6.21E-06	9.67E-04
365	2.32E-04	6.97E-06	0.00109
366	2.61E-04	7.81E-06	0.00122
367	2.93E-04	8.77E-06	0.00137
368	3.29E-04	9.84E-06	0.00154
369	3.70E-04	1.10E-05	0.00173
370	4.15E-04	1.24E-05	0.00195
371	4.64E-04	1.39E-05	0.00218
372	5.19E-04	1.56E-05	0.00244
373	5.82E-04	1.74E-05	0.00273
374	6.55E-04	1.96E-05	0.00308
375	7.42E-04	2.20E-05	0.00349
376	8.45E-04	2.48E-05	0.00398
377	9.65E-04	2.80E-05	0.00454
378	0.00109	3.15E-05	0.00516
379	0.00123	3.52E-05	0.0058
380	0.00137	3.90E-05	0.00645
381	0.0015	4.28E-05	0.00708
382	0.00164	4.69E-05	0.00775
383	0.0018	5.16E-05	0.0085
384	0.002	5.72E-05	0.00941
385	0.00224	6.40E-05	0.01055
386	0.00254	7.23E-05	0.01197
387	0.00289	8.22E-05	0.01366
388	0.0033	9.35E-05	0.01559
389	0.00375	1.06E-04	0.01773
390	0.00424	1.20E-04	0.02005
391	0.00476	1.35E-04	0.02251
392	0.00533	1.51E-04	0.0252
393	0.00598	1.70E-04	0.02828
394	0.00674	1.92E-04	0.0319
395	0.00765	2.17E-04	0.03621
396	0.00875	2.47E-04	0.04144
397	0.01003	2.81E-04	0.0475
398	0.01142	3.19E-04	0.05412
399	0.01287	3.57E-04	0.061
400	0.01431	3.96E-04	0.06785
401	0.0157	4.34E-04	0.07449
402	0.01715	4.73E-04	0.08136
403	0.01878	5.18E-04	0.08915
404	0.02075	5.72E-04	0.09854
405	0.02319	6.40E-04	0.1102
406	0.02621	7.25E-04	0.12461
407	0.02978	8.26E-04	0.1417
408	0.03388	9.41E-04	0.1613
409	0.03847	0.00107	0.18326
410	0.04351	0.00121	0.2074
411	0.049	0.00136	0.23369
412	0.05502	0.00153	0.26261
413	0.06172	0.00172	0.29477
414	0.06921	0.00194	0.3308
415	0.07763	0.00218	0.3713
416	0.08696	0.00245	0.41621
417	0.09718	0.00276	0.46546
418	0.10841	0.00312	0.51969
419	0.12077	0.00353	0.57953
420	0.13438	0.004	0.6456
421	0.14936	0.00455	0.71848
422	0.1654	0.00516	0.79671
423	0.18198	0.00583	0.87785
424	0.19861	0.00655	0.95944
425	0.21477	0.0073	1.03905
